time(s),voltage_2
0.56666666,0.0
0.5675,0.0
0.5683333,0.0
0.56916666,0.0
0.57,0.0
0.5708333,0.0
0.57166666,0.0
0.5725,0.0
0.5733333,0.0
0.57416666,0.0
0.575,0.0
0.5758333,0.0
0.57666665,0.0
0.5775,0.0
0.5783333,0.0
0.57916665,0.0
0.58,0.0
0.5808333,0.0
0.58166665,0.0
0.5825,0.0
0.5833333,0.0
0.58416665,0.0
0.585,0.0
0.5858333,0.0
0.58666664,0.0
0.5875,0.0
0.5883333,0.0
0.58916664,0.0
0.59,0.0
0.5908333,0.0
0.59166664,0.0
0.5925,0.0
0.5933333,0.0
0.5941667,0.0
0.595,0.0
0.59583336,0.0
0.5966667,0.0
0.5975,0.0
0.59833336,0.0
0.5991667,0.0
0.6,0.0
0.60083336,0.0
0.6016667,0.0
0.6025,0.0
0.60333335,0.0
0.6041667,0.0
0.605,0.0
0.60583335,0.0
0.6066667,0.0
0.6075,0.0
0.60833335,0.0
0.6091667,0.0
0.61,0.0
0.61083335,0.0
0.6116667,0.0
0.6125,0.0
0.61333334,0.0
0.6141667,0.0
0.615,0.0
0.61583334,0.0
0.6166667,0.0
0.6175,0.0
0.61833334,0.0
0.6191667,0.0
0.62,0.0
0.62083334,0.0
0.62166667,0.0
0.6225,0.0
0.62333333,0.0
0.62416667,0.0
0.625,0.0
0.62583333,0.0
0.62666667,0.0
0.6275,0.0
0.62833333,0.0
0.62916666,0.0
0.63,0.0
0.6308333,0.0
0.63166666,0.0
0.6325,0.0
0.6333333,0.0
0.63416666,0.0
0.635,0.0
0.6358333,0.0
0.63666666,0.0
0.6375,0.0
0.6383333,0.0
0.63916665,0.0
0.64,0.0
0.6408333,0.0
0.64166665,0.0
0.6425,0.0
0.6433333,0.0
0.64416665,0.0
0.645,0.0
0.6458333,0.0
0.64666665,0.0
0.6475,0.0
0.6483333,0.0
0.64916664,0.0
0.65,0.0
0.6508333,0.0
0.65166664,0.0
0.6525,0.0
0.6533333,0.0
0.65416664,0.0
0.655,0.0
0.6558333,0.0
0.6566667,0.0
0.6575,0.0
0.65833336,0.0
0.6591667,0.0
0.66,0.0
0.66083336,0.0
0.6616667,0.0
0.6625,0.0
0.66333336,0.0
0.6641667,0.0
0.665,0.0
0.66583335,0.0
0.6666667,0.0
0.6675,0.0
0.66833335,0.0
0.6691667,0.0
0.67,0.0
0.67083335,0.0
0.6716667,0.0
0.6725,0.0
0.67333335,0.0
0.6741667,0.0
0.675,0.0
0.67583334,0.0
0.6766667,0.0
0.6775,0.0
0.67833334,0.0
0.6791667,0.0
0.68,0.0
0.68083334,0.0
0.6816667,0.0
0.6825,0.0
0.68333334,0.0
0.68416667,0.0
0.685,0.0
0.68583333,0.0
0.68666667,0.0
0.6875,0.0
0.68833333,0.0
0.68916667,0.0
0.69,0.0
0.69083333,0.0
0.69166666,0.0
0.6925,0.0
0.6933333,0.0
0.69416666,0.0
0.695,0.0
0.6958333,0.0
0.69666666,0.0
0.6975,0.0
0.6983333,0.0
0.69916666,0.0
0.7,0.0
0.7008333,0.0
0.70166665,0.0
0.7025,0.0
0.7033333,0.0
0.70416665,0.0
0.705,0.0
0.7058333,0.0
0.70666665,0.0
0.7075,0.0
0.7083333,64.0
0.70916665,210.0
0.71,353.0
0.7108333,482.0
0.71166664,609.0
0.7125,738.0
0.7133333,849.0
0.71416664,962.0
0.715,1073.0
0.7158333,1170.0
0.71666664,1280.0
0.7175,1378.0
0.7183333,1473.0
0.7191667,1554.0
0.72,1650.0
0.72083336,1731.0
0.7216667,1811.0
0.7225,1907.0
0.72333336,1984.0
0.7241667,2050.0
0.725,2113.0
0.72583336,2178.0
0.7266667,2256.0
0.7275,2320.0
0.72833335,2384.0
0.7291667,2432.0
0.73,2497.0
0.73083335,2546.0
0.7316667,2611.0
0.7325,2659.0
0.73333335,2707.0
0.7341667,2753.0
0.735,2802.0
0.73583335,2849.0
0.7366667,2896.0
0.7375,2930.0
0.73833334,2979.0
0.7391667,3009.0
0.74,3056.0
0.74083334,3088.0
0.7416667,3120.0
0.7425,3154.0
0.74333334,3186.0
0.7441667,3217.0
0.745,3250.0
0.74583334,3283.0
0.74666667,3312.0
0.7475,3330.0
0.74833333,3363.0
0.74916667,3379.0
0.75,3410.0
0.75083333,3427.0
0.75166667,3459.0
0.7525,3475.0
0.75333333,3504.0
0.75416666,3522.0
0.755,3537.0
0.7558333,3552.0
0.75666666,3584.0
0.7575,3586.0
0.7583333,3603.0
0.75916666,3635.0
0.76,3648.0
0.7608333,3650.0
0.76166666,3683.0
0.7625,3681.0
0.7633333,3699.0
0.76416665,3713.0
0.765,3730.0
0.7658333,3745.0
0.76666665,3747.0
0.7675,3761.0
0.7683333,3778.0
0.76916665,3779.0
0.77,3795.0
0.7708333,3811.0
0.77166665,3809.0
0.7725,3826.0
0.7733333,3840.0
0.77416664,3842.0
0.775,3857.0
0.7758333,3856.0
0.77666664,3859.0
0.7775,3875.0
0.7783333,3873.0
0.77916664,3890.0
0.78,3891.0
0.7808333,3907.0
0.7816667,3905.0
0.7825,3906.0
0.78333336,3921.0
0.7841667,3922.0
0.785,3939.0
0.78583336,3937.0
0.7866667,3939.0
0.7875,3953.0
0.78833336,3952.0
0.7891667,3954.0
0.79,3955.0
0.79083335,3969.0
0.7916667,3968.0
0.7925,3970.0
0.79333335,3971.0
0.7941667,3985.0
0.795,3984.0
0.79583335,3984.0
0.7966667,3987.0
0.7975,4001.0
0.79833335,4000.0
0.7991667,4002.0
0.8,4002.0
0.80083334,4003.0
0.8016667,4019.0
0.8025,4017.0
0.80333334,4017.0
0.8041667,4016.0
0.805,4018.0
0.80583334,4017.0
0.8066667,4019.0
0.8075,4033.0
0.80833334,4032.0
0.80916667,4032.0
0.81,4034.0
0.81083333,4035.0
0.81166667,4033.0
0.8125,4032.0
0.81333333,4035.0
0.81416667,4035.0
0.815,4051.0
0.81583333,4049.0
0.81666666,4048.0
0.8175,4048.0
0.8183333,4048.0
0.81916666,4050.0
0.82,4050.0
0.8208333,4051.0
0.82166666,4067.0
0.8225,4049.0
0.8233333,4051.0
0.82416666,4065.0
0.825,4064.0
0.8258333,4064.0
0.82666665,4064.0
0.8275,4064.0
0.8283333,4064.0
0.82916665,4064.0
0.83,4065.0
0.8308333,4066.0
0.83166665,4065.0
0.8325,4066.0
0.8333333,4066.0
0.83416665,4067.0
0.835,4065.0
0.8358333,4064.0
0.83666664,4066.0
0.8375,4067.0
